date,time,test,negative,confirmed,released,deceased
2020-01-20,16,1,0,1,0,0
2020-01-21,16,1,0,1,0,0
2020-01-22,16,4,3,1,0,0
2020-01-23,16,22,21,1,0,0
2020-01-24,16,27,25,2,0,0
2020-01-25,16,27,25,2,0,0
2020-01-26,16,51,47,3,0,0
2020-01-27,16,61,56,4,0,0
2020-01-28,16,116,97,4,0,0
2020-01-29,16,187,155,4,0,0
2020-01-30,16,246,199,6,0,0
2020-01-31,16,312,245,11,0,0
2020-02-01,16,371,289,12,0,0
2020-02-02,16,429,327,15,0,0
2020-02-03,16,490,414,15,0,0
2020-02-04,16,607,462,16,0,0
2020-02-05,16,714,522,18,1,0
2020-02-06,16,885,693,23,2,0
2020-02-07,16,1352,1001,24,2,0
2020-02-08,16,2097,1134,24,2,0
2020-02-09,16,2598,1683,27,3,0
2020-02-10,16,3110,2552,27,4,0
2020-02-11,16,4325,3535,28,4,0
2020-02-12,16,5624,4811,28,7,0
2020-02-13,16,6511,5921,28,7,0
2020-02-14,16,7242,6679,28,7,0
2020-02-15,16,7734,7148,28,9,0
2020-02-16,16,8161,7647,29,9,0
2020-02-17,16,8718,7980,30,10,0
2020-02-18,16,9772,8923,31,12,0
2020-02-19,16,11173,9973,51,16,0
2020-02-20,16,13202,11238,104,16,1
2020-02-21,16,16400,13016,204,17,2
2020-02-22,16,21586,15116,433,18,2
2020-02-23,16,26179,17520,602,18,6
2020-02-24,16,32756,20292,833,24,8
2020-02-25,16,40304,25447,977,24,12
2020-02-26,16,53553,31576,1261,24,12
2020-02-27,16,66652,39318,1766,26,13
2020-02-28,16,81167,48593,2337,27,13
2020-02-29,16,94055,55723,3150,28,17
2020-03-01,16,98921,61825,3736,30,18
2020-03-02,0,109591,71580,4212,31,22
2020-03-03,0,125851,85484,4812,34,28
2020-03-04,0,136707,102965,5328,41,32
2020-03-05,0,146541,118965,5766,88,35
2020-03-06,0,164740,136624,6284,108,42
2020-03-07,0,178189,151802,6767,118,44
2020-03-08,0,188518,162008,7134,130,50
2020-03-09,0,196618,171778,7382,166,51
2020-03-10,0,210144,184179,7513,247,54
2020-03-11,0,222395,196100,7755,288,60
2020-03-12,0,234998,209402,7869,333,66
2020-03-13,0,248647,222728,7979,510,67
2020-03-14,0,261335,235615,8086,714,72
2020-03-15,0,268212,243778,8126,834,75
2020-03-16,0,274504,251297,8236,1137,75
2020-03-17,0,286716,261105,8320,1401,81
2020-03-18,0,295647,270888,8413,1540,84
2020-03-19,0,307024,282555,8565,1947,91
2020-03-20,0,316664,292487,8652,2233,94
2020-03-21,0,327509,303006,8799,2612,102
2020-03-22,0,331780,308343,8897,2909,104
2020-03-23,0,338036,315447,8961,3166,111
2020-03-24,0,348582,324105,9037,3507,120
2020-03-25,0,357896,334481,9137,3730,126
2020-03-26,0,364942,341332,9241,4144,131
2020-03-27,0,376961,352410,9332,4528,139
2020-03-28,0,387925,361883,9478,4811,144
2020-03-29,0,394141,369530,9583,5033,152
2020-03-30,0,395194,372002,9661,5228,158
2020-03-31,0,410564,383886,9786,5408,162
2020-04-01,0,421547,395075,9887,5567,165
2020-04-02,0,431743,403882,9976,5828,169
2020-04-03,0,443273,414303,10062,6021,174
2020-04-04,0,455032,424732,10156,6325,177
2020-04-05,0,461233,431425,10237,6463,183
2020-04-06,0,466804,437225,10284,6598,186
2020-04-07,0,477304,446323,10331,6694,192
2020-04-08,0,486003,457761,10384,6776,200
2020-04-09,0,494711,468779,10423,6973,204
2020-04-10,0,503051,477303,10450,7117,208
2020-04-11,0,510479,485929,10480,7243,211
2020-04-12,0,514621,490321,10512,7368,214
2020-04-13,0,518743,494815,10537,7447,217
2020-04-14,0,527438,502223,10564,7534,222
2020-04-15,0,534552,508935,10591,7616,225
2020-04-16,0,538775,513894,10613,7757,229
2020-04-17,0,546463,521642,10635,7829,230
2020-04-18,0,554834,530631,10653,7937,232
2020-04-19,0,559109,536205,10661,8042,234
2020-04-20,0,563035,540380,10674,8114,236
2020-04-21,0,571014,547610,10683,8213,237
2020-04-22,0,577959,555144,10694,8277,238
2020-04-23,0,583971,563130,10702,8411,240
2020-04-24,0,589520,569212,10708,8501,240
2020-04-25,0,595161,575184,10718,8635,240
2020-04-26,0,598285,578558,10728,8717,242
2020-04-27,0,601660,582027,10738,8764,243
2020-04-28,0,608514,588559,10752,8854,244
2020-04-29,0,614197,595129,10761,8922,246
2020-04-30,0,619881,600482,10765,9059,247
2020-05-01,0,623069,603610,10774,9072,248
2020-05-02,0,627562,608286,10780,9123,250
2020-05-03,0,630973,611592,10793,9183,250
2020-05-04,0,633921,614944,10801,9217,252
2020-05-05,0,640237,620575,10804,9283,254
2020-05-06,0,643095,624280,10806,9333,255
2020-05-07,0,649388,630149,10810,9419,256
2020-05-08,0,654863,635174,10822,9484,256
2020-05-09,0,660030,640037,10840,9568,256
2020-05-10,0,663886,642884,10874,9610,256
2020-05-11,0,668492,646661,10909,9632,256
2020-05-12,0,680890,653624,10936,9670,258
2020-05-13,0,695920,665379,10962,9695,259
2020-05-14,0,711484,679771,10991,9762,260
2020-05-15,0,726747,695854,11018,9821,260
2020-05-16,0,740645,711265,11037,9851,262
2020-05-17,0,747653,718943,11050,9888,262
2020-05-18,0,753211,726053,11065,9904,263
2020-05-19,0,765574,737571,11078,9938,263
2020-05-20,0,776433,748972,11110,10066,263
2020-05-21,0,788684,759473,11122,10135,264
2020-05-22,0,802418,770990,11142,10162,264
2020-05-23,0,814420,781686,11165,10194,266
2020-05-24,0,820289,788766,11190,10213,266
2020-05-25,0,826437,796142,11206,10226,267
2020-05-26,0,839475,806206,11225,10275,269
2020-05-27,0,852876,820550,11265,10295,269
2020-05-28,0,868666,834952,11344,10340,269
2020-05-29,0,885120,849161,11402,10363,269
2020-05-30,0,902901,865162,11441,10398,269
2020-05-31,0,910822,876060,11468,10405,270
2020-06-01,0,0,0,11503,271,10422
2020-06-02,0,0,0,11541,272,10446
2020-06-03,0,0,0,11590,273,10467
2020-06-04,0,0,0,11629,273,10499
2020-06-05,0,0,0,11668,273,10506
2020-06-06,0,0,0,11719,273,10531
2020-06-07,0,0,0,11776,273,10552
2020-06-08,0,0,0,11814,273,10563
2020-06-09,0,0,0,11852,274,10589
2020-06-10,0,0,0,11902,276,10611
2020-06-11,0,0,0,11947,276,10654
2020-06-12,0,0,0,12003,277,10669
2020-06-13,0,0,0,12051,277,10691
2020-06-14,0,0,0,12085,277,10718
2020-06-15,0,0,0,12121,277,10730
2020-06-16,0,0,0,12155,278,10760
2020-06-17,0,0,0,12198,279,10774
2020-06-18,0,0,0,12257,280,10800
2020-06-19,0,0,0,12306,280,10835
2020-06-20,0,0,0,12373,280,10856
2020-06-21,0,0,0,12421,280,10868
2020-06-22,0,0,0,12438,280,10881
2020-06-23,0,0,0,12484,281,10908
2020-06-24,0,0,0,12535,281,10930
2020-06-25,0,0,0,12563,282,10974
2020-06-26,0,0,0,12602,282,11172
2020-06-27,0,0,0,12653,282,11317
2020-06-28,0,0,0,12715,282,11364
2020-06-29,0,0,0,12757,282,11429
2020-06-30,0,0,0,12800,282,11537
2020-07-01,0,0,0,12850,282,11613
2020-07-02,0,0,0,12904,282,11684
2020-07-03,0,0,0,12965,282,11759
2020-07-04,0,0,0,13028,283,11811
2020-07-05,0,0,0,13089,283,11832
2020-07-06,0,0,0,13137,284,11848
2020-07-07,0,0,0,13181,285,11914
2020-07-08,0,0,0,13244,285,11970
2020-07-09,0,0,0,13293,287,12019
2020-07-10,0,0,0,13338,288,12065
2020-07-11,0,0,0,13373,288,12144
2020-07-12,0,0,0,13417,289,12178
2020-07-13,0,0,0,13479,289,12204
2020-07-14,0,0,0,13512,289,12282
2020-07-15,0,0,0,13551,289,12348
2020-07-16,0,0,0,13612,291,12396
2020-07-17,0,0,0,13672,293,12460
2020-07-18,0,0,0,13711,294,12519
2020-07-19,0,0,0,13745,295,12556
2020-07-20,0,0,0,13771,296,12572
2020-07-21,0,0,0,13816,296,12643
2020-07-22,0,0,0,13879,297,12698
2020-07-23,0,0,0,13938,297,12758
2020-07-24,0,0,0,13979,298,12817
2020-07-25,0,0,0,14092,298,12866
2020-07-26,0,0,0,14150,298,12890
2020-07-27,0,0,0,14175,299,12905
2020-07-28,0,0,0,14203,300,13007
2020-07-29,0,0,0,14251,300,13069
2020-07-30,0,0,0,14269,300,13132
2020-07-31,0,0,0,14305,301,13183
2020-08-01,0,0,0,14336,301,13233
2020-08-02,0,0,0,14366,301,13259
2020-08-03,0,0,0,14389,301,13280
2020-08-04,0,0,0,14423,301,13352
2020-08-05,0,0,0,14456,302,13406
2020-08-06,0,0,0,14499,302,13501
2020-08-07,0,0,0,14519,303,13543
2020-08-08,0,0,0,14562,304,13629
2020-08-09,0,0,0,14598,305,13642
2020-08-10,0,0,0,14626,305,13658
2020-08-11,0,0,0,14660,305,13729
2020-08-12,0,0,0,14714,305,13786
2020-08-13,0,0,0,14770,305,13817
2020-08-14,0,0,0,14873,305,13863
2020-08-15,0,0,0,15039,305,13901
2020-08-16,0,0,0,15318,305,13910
2020-08-17,0,0,0,15515,306,13917
2020-08-18,0,0,0,15761,306,13934
2020-08-19,0,0,0,16058,306,14006
2020-08-20,0,0,0,16346,307,14063
2020-08-21,0,0,0,16670,309,14120
2020-08-22,0,0,0,17002,309,14169
2020-08-23,0,0,0,17399,309,14200
2020-08-24,0,0,0,17665,309,14219
2020-08-25,0,0,0,17945,310,14286
2020-08-26,0,0,0,18265,312,14368
2020-08-27,0,0,0,18706,313,14461
2020-08-28,0,0,0,19077,316,14551
2020-08-29,0,0,0,19400,321,14765
2020-08-30,0,0,0,19699,323,14903
2020-08-31,0,0,0,19947,324,14973
2020-09-01,0,0,0,20182,324,15198
2020-09-02,0,0,0,20449,326,15356
2020-09-03,0,0,0,20644,329,15529
2020-09-04,0,0,0,20842,331,15783
